"table_order","common_name_published","scientific_name_published","accepted_name","fishery_published","exploitation_status_published","in_species_frame_v7","rfbf_scope_v7","modelled_v7","n_model_records_v7","n_analysis_records_v7","model_status_v7","source_table_note"
11,"Elf","Pomatomus saltatrix","Pomatomus saltatrix","Commercial & recreational","Unknown",TRUE,TRUE,TRUE,118,118,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
12,"Englishman","Chrysoblephus anglicus","Chrysoblephus anglicus","Commercial & recreational","Collapsed",TRUE,FALSE,FALSE,0,15,"outside_rfbf_scope","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
13,"Garrick","Lichia amia","Lichia amia","Recreational","Unknown",TRUE,TRUE,TRUE,79,79,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
14,"Geelbek","Atractoscion aequidens","Atractoscion aequidens","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,66,66,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
15,"Hottentot","Pachymetopon blochii","Pachymetopon blochii","Commercial & recreational","Sustainable",TRUE,TRUE,TRUE,46,46,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
16,"Janbruin","Gymnocrotaphus curvidens","Gymnocrotaphus curvidens","Recreational","Unknown",TRUE,TRUE,TRUE,35,35,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
17,"Panga","Pterogymnus laniarius","Pterogymnus laniarius","Commercial","Unknown",TRUE,TRUE,TRUE,43,43,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
18,"Roman","Chrysoblephus laticeps","Chrysoblephus laticeps","Commercial & recreational","Previously depleted",TRUE,TRUE,TRUE,70,70,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
19,"Red steenbras","Petrus rupestris","Petrus rupestris","None (previously recreational)","Overexploited",TRUE,TRUE,TRUE,51,52,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
20,"Red stumpnose","Chrysoblephus gibbiceps","Chrysoblephus gibbiceps","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,43,43,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
21,"Santer","Cheimerius nufar","Cheimerius nufar","Commercial & recreational","Unknown",TRUE,TRUE,TRUE,70,70,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
22,"Scotsman","Polysteganus praeorbitalis","Polysteganus praeorbitalis","Commercial & recreational","Overexploited",FALSE,,FALSE,0,0,"not_in_rfbf_species_frame","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
23,"Snoek","Thyrsites atun","Thyrsites atun","Commercial & recreational","Optimally/fully exploited",TRUE,TRUE,FALSE,0,0,"no_model_ready_records","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
24,"Soupfin shark","Galeorhinus galeus","Galeorhinus galeus","Commercial","Fully/overexploited",TRUE,TRUE,TRUE,39,40,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
25,"Pyjama shark","Poroderma africanum","Poroderma africanum","Recreational","IUCN near threatened",TRUE,TRUE,TRUE,80,80,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
26,"White musselcracker","Sparodon durbanensis","Sparodon durbanensis","Recreational","IUCN vulnerable",TRUE,TRUE,TRUE,53,53,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
27,"White stumpnose","Rhabdosargus globiceps","Rhabdosargus globiceps","Commercial & recreational","IUCN vulnerable",TRUE,TRUE,TRUE,91,92,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
28,"Yellow-belly rockcod","Epinephelus marginatus","Epinephelus marginatus","Commercial & recreational","Unknown/IUCN endangered",TRUE,TRUE,TRUE,58,58,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
29,"Yellowtail","Seriola lalandi","Seriola lalandi","Commercial & recreational","Sustainable",TRUE,TRUE,FALSE,0,0,"no_model_ready_records","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
30,"Zebra fish","Diplodus cervinus hottentotus","Diplodus hottentotus","Recreational","Unknown",TRUE,TRUE,TRUE,94,94,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship."
